"PK","SK","close","created_at","high","low","open","pair","timeframe_minutes","timestamp","volume","vwap"
"PAIR#XXBTZUSD","TF#1m#TS#1778397960","80780.8","1778441185","80780.9","80758.2","80758.3","XXBTZUSD","1","1778397960","0.56423711","80760.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778398020","80778.5","1778441245","80780.9","80778.4","80780.9","XXBTZUSD","1","1778398020","0.02850653","80778.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778398080","80766.3","1778441305","80778.4","80765.2","80778.4","XXBTZUSD","1","1778398080","0.90608866","80767.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778398140","80766.3","1778441365","80766.4","80766.3","80766.4","XXBTZUSD","1","1778398140","0.01308897","80766.3"
"PAIR#XXBTZUSD","TF#1m#TS#1778398200","80759","1778441425","80766.4","80758.9","80766.4","XXBTZUSD","1","1778398200","0.2041157","80764.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778398260","80758.9","1778441485","80759","80758.9","80759","XXBTZUSD","1","1778398260","0.02446323","80758.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778398320","80759","1778441545","80759","80758.9","80759","XXBTZUSD","1","1778398320","0.00593679","80758.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778398380","80759","1778441605","80759","80758.9","80759","XXBTZUSD","1","1778398380","0.03926858","80758.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778398440","80753.3","1778441665","80758.9","80753.2","80758.9","XXBTZUSD","1","1778398440","0.0617544","80755.1"
"PAIR#XXBTZUSD","TF#1m#TS#1778398500","80753.3","1778441725","80753.3","80753.2","80753.3","XXBTZUSD","1","1778398500","0.00690538","80753.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778398560","80750.7","1778441785","80753.3","80749.8","80753.2","XXBTZUSD","1","1778398560","0.15427468","80750"
"PAIR#XXBTZUSD","TF#1m#TS#1778398620","80750.7","1778441845","80750.7","80750.6","80750.7","XXBTZUSD","1","1778398620","0.00420682","80750.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778398680","80750.7","1778441905","80750.7","80750.6","80750.7","XXBTZUSD","1","1778398680","0.00717935","80750.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778398740","80750.7","1778441965","80750.7","80750.6","80750.6","XXBTZUSD","1","1778398740","0.00271756","80750.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778398800","80750.6","1778442025","80750.7","80750.6","80750.6","XXBTZUSD","1","1778398800","0.00617777","80750.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778398860","80750.7","1778442085","80750.7","80750.6","80750.7","XXBTZUSD","1","1778398860","0.63417843","80750.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778398920","80750.7","1778442145","80750.7","80750.6","80750.7","XXBTZUSD","1","1778398920","0.02988094","80750.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778398980","80750.3","1778442205","80750.7","80750.3","80750.7","XXBTZUSD","1","1778398980","0.00981004","80750.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778399040","80750.3","1778442265","80750.4","80750.3","80750.4","XXBTZUSD","1","1778399040","0.00356948","80750.3"
"PAIR#XXBTZUSD","TF#1m#TS#1778399100","80750.3","1778442325","80750.4","80750.3","80750.4","XXBTZUSD","1","1778399100","0.00292672","80750.3"
"PAIR#XXBTZUSD","TF#1m#TS#1778399160","80750.3","1778442385","80750.4","80750.3","80750.4","XXBTZUSD","1","1778399160","0.01589634","80750.3"
"PAIR#XXBTZUSD","TF#1m#TS#1778399220","80750.3","1778442445","80750.4","80750.3","80750.3","XXBTZUSD","1","1778399220","0.0031488","80750.3"
